regionID,sumDeliveries,zipCode,city,lat,lon
1,1511,40297,SANCHONUÑO,41.3232,-4.3053
2,2535,25220,BELL-LLOCH,41.6333,0.7833
3,679,45695,ALBERCHE DEL CAUDILLO,39.9189,-4.6801
4,3756,10335,PERALEDA DE LA MATA,39.8529,-5.4606
5,23891,1009,VITORIA-GASTEIZ,42.85,-2.6727
6,256,10530,SERRADILLA,39.8292,-6.1403
7,682,27310,SAN CLODIO,42.4225,-7.3047
8,2006,26230,CASALARREINA,42.5491,-2.9099
9,1677,13248,ALHAMBRA,38.8993,-3.0533
10,2820,17700,"JUNQUERA, LA",42.4173,2.8736
11,861,1300,LAGUARDIA,42.5546,-2.5853
12,978,50171,"PUEBLA DE ALFINDEN, LA",41.5321,-0.4035
13,324,50160,LECIÑENA,41.7987,-0.6117
14,134,22449,CERLER,42.5934,0.5383
15,3037,1160,ARAMAYONA,43.0498,-2.5659
16,1488,43740,MORA DE EBRO,41.0833,0.6333
17,13796,21004,HUELVA,37.2714,-6.9495
18,1128,36500,LALIN,42.8561,-8.2748
19,763,1200,SALVATIERRA,42.8516,-2.3912
20,714,1211,PEÑACERRADA,42.6743,-2.7516749999999988
21,2254,15108,LA CORUÑA,43.2258,-8.647884615384614
22,3257,40300,SEPULVEDA,41.297,-3.7422
23,1302,34310,BECERRIL DE CAMPOS,42.1808,-4.594914285714286
24,24138,36208,VIGO,42.2328,-8.7226
25,2036,25440,VINAIXA,41.4333,0.9833
26,18131,26002,LOGROÑO,42.4667,-2.45
27,7992,22004,HUESCA,42.1362,-0.4087
28,2903,40410,SAN RAFAEL,40.7131,-4.1905
29,72672,41002,SEVILLA,37.3824,-5.9761
30,8465,46723,ALMOINES,38.9432,-0.1816
31,3315,9219,AMEYUGO,42.6028,-3.0461750000000003
32,2168,1440,IZARRA,42.9541,-2.9026
33,974,46389,TURIS,39.3833,-0.7
34,5900,48840,GUEÑES,43.2125,-3.095
35,609,45650,ESPINOSO DEL REY,39.6533,-4.7837
36,119,50529,FUENDEJALON,41.7605,-1.4552666666666667
37,26416,2004,ALBACETE,38.9942,-1.8564
38,2312,21890,MANZANILLA,37.3899,-6.433
39,2010,2100,TARAZONA DE LA MANCHA,39.25,-1.9167
40,802,24500,VILLAFRANCA DEL BIERZO,42.606,-6.8107
41,994,2120,PEÑAS DE SAN PEDRO,38.7288,-2.005
42,841,2125,AYNA,38.55,-2.1022
43,234,49622,QUIRUELAS DE VIDRIALES,42.0329,-5.8772400000000005
44,1622,46360,BUÑOL,39.4167,-0.7833
45,796,33100,TRUBIA,43.3377,-5.994
46,1041,2150,VALDEGANGA,39.1351,-1.6769999999999998
47,43,37338,VILLORUELA,41.0086,-5.3938
48,26132,33199,GRANDA (SIERO),43.2538,-5.760880952380954
49,1390,2249,BORMATE,39.1833,-1.5388833333333334
50,1137,31520,CASCANTE,41.9977,-1.681
51,4981,42005,SORIA,41.763999999999996,-2.4688
52,624,2247,CENIZATE,39.3,-1.65
53,94334,46019,VALENCIA,39.4698,-0.3774
54,1283,40194,SAN CRISTOBAL DE SEGOVIA,40.9305,-4.04892
55,10645,48340,AMOREBIETA,43.1942,-2.72568
56,92,18196,SIERRA NEVADA,37.095,-3.3969
57,340,24140,VILLASECA DE LACIANA,42.9846,-6.25475
58,695,2350,VILLAPALACIOS,38.575,-2.6338
59,1422,15999,PORTOSIN (PUERTO DE SON),42.758,-8.9491
60,3389,2400,HELLIN,38.5106,-1.7009999999999998
61,744,37260,VILLAVIEJA DE YELTES,40.8757,-6.4679
62,446,2435,SOCOVOS,38.3323,-1.9848
63,6474,43519,PERELLO,40.8667,0.7167
64,6891,41500,ALCALA DE GUADAIRA,37.3379,-5.8395
65,34889,39610,"ASTILLERO, EL",43.4009,-3.8205
66,586,30009,MURCIA,37.986999999999995,-1.13
67,3334,39709,SAMANO,43.3599,-3.2215
68,252,49300,PUEBLA DE SANABRIA,42.053999999999995,-6.6335
69,3066,16611,CASAS DE HARO,39.3335,-2.2727
70,16,50259,ARANDA DE MONCAYO,41.5775,-1.81635
71,867,50740,FUENTES DE EBRO,41.5125,-0.6316
72,527,25179,MAYALS,41.3667,0.5
73,223,15148,AGUALADA (CORISTANCO),43.2,-8.76
74,570,2653,ALBATANA,38.5706,-1.5221
75,3441,2690,ALPERA,38.9667,-1.2167
76,129,49137,VILLARRÍN DE CAMPOS,41.7952,-5.638999999999999
77,1150,2693,CORRAL-RUBIO,38.8346,-1.4303
78,475,16700,SISANTE,39.4085,-2.2017
79,1194,45890,CABEZAMESADA,39.8163,-3.1024
80,1801,31830,LAKUNTZA,42.9225,-2.0234
81,900,15379,CURTIS (ESTACION),43.3218,-8.1063
82,661,43782,VILLALBA DE LOS ARCOS,41.1167,0.4167
83,2754,45749,VILLAMUELAS,39.8178,-3.7346
84,415,24690,BUSDONGO,42.9833,-5.7
85,3989,23210,GUARROMAN,38.1828,-3.687
86,1258,32340,VILLAMARTIN DE VALDEORRAS,42.4343,-7.048299999999999
87,206,33830,BELMONTE DE MIRANDA,43.2825,-6.2182
88,12145,3690,SAN VICENTE DEL RASPEIG,38.3964,-0.5255
89,903,45770,ROMERAL (EL),39.7074,-3.4338
90,185004,28024,MADRID,40.4165,-3.7026
91,25227,3114,ALICANTE,38.3199,-0.5584
92,661,44300,MONREAL DEL CAMPO,40.788000000000004,-1.3554
93,2710,45940,VALMOJADO,40.2044,-4.0915
94,626,15110,PUENTECESO,43.25,-8.900000000000004
95,1230,15530,CERDIDO,43.6167,-8.0
96,929,41340,TOCINA,37.609,-5.734
97,1113,3802,ALCOY,38.7054,-0.4743
98,2232,3183,TORREVIEJA,37.9787,-0.6822
99,242,47851,SAN PEDRO DE LATARCE,41.7356,-5.3259
100,8531,3190,PILAR DE LA HORADADA,37.8659,-0.7926
101,22812,43392,CASTELLVELL,41.1755,1.1016
102,314,37671,SAN ESTEBAN DE LA SIERRA,40.5068,-5.9062
103,9600,15404,EL FERROL,43.4832,-8.2369
104,479,43371,MARGALEF,41.285,0.7533
105,3335,28590,VILLAREJO DE SALVANES,40.1666,-3.2728
106,3153,46850,"OLLERIA, L'",38.9395,-0.5214
107,1368,12080,CASTELLON DE LA PLANA,40.2108,0.0272
108,788,23611,HIGUERA DE CALATRAVA,37.7985,-4.1574
109,4245,3360,CALLOSA DE SEGURA,38.125,-0.8624000000000004
110,135,29770,TORROX,36.7579,-3.9523
111,4123,3158,CATRAL,38.1776,-0.8033888888888888
112,2129,15959,PALMEIRA (RIBEIRA),42.5833,-8.95
113,2131,45542,CASAR DE ESCALONA (EL),40.0464,-4.5251
114,681,34218,CEVICO DE LA TORRE,41.8511,-4.4097
115,471,34480,ALAR DEL REY,42.6604,-4.3127
116,275,32740,PARADA DEL SIL,42.3561,-7.535899999999999
117,1637,17850,BESALU,42.2167,2.6896714285714287
118,4025,47260,CABEZON DE PISUERGA,41.7616,-4.6236
119,113,46640,MOGENTE,39.0618,-0.6295
120,15728,3530,"NUCIA, LA",38.6137,-0.11640227272727267
121,3060,10910,MALPARTIDA DE CACERES,39.4466,-6.5076
122,220,16841,ALBALATE DE LAS NOGUERAS,40.3661,-2.2772
123,610,14140,"VICTORIA, LA",37.6813,-4.852
124,2366,45100,SONSECA,39.6775,-3.9745
125,916,47133,VEGA DE VALDETRONCO,41.5864,-5.12385
126,1588,39292,SAN MIGUEL DE MERUELO,43.0289,-4.036566666666666
127,545,10940,GARROVILLAS,39.7108,-6.5503
128,261,33720,BOAL,43.431999999999995,-6.8151
129,373,33590,COLOMBRES,43.3754,-4.574807142857141
130,2969,45164,GALVEZ,39.7021,-4.2724
131,65,37240,LUMBRALES,40.935,-6.7195
132,3834,41110,CORIA DEL RIO,37.3401,-6.1372
133,432,33780,TREVIAS,43.5403,-6.408528571428572
134,231,31540,BUÑUEL,41.9801,-1.445
135,5480,3630,SAX,38.5373,-0.8178
136,310,21330,VALDELAMUSA,37.7799,-6.883725
137,203,47210,ATAQUINES,41.1825,-4.8032
138,4729,39795,ESCALANTE,43.4368,-3.5135
139,7120,3291,ELCHE,38.2622,-0.7011
140,642,27740,MONDOÑEDO,43.3287,-7.2771
141,4762,16670,"PROVENCIO, EL",39.3774,-2.5745
142,505,40355,FUENTESAUCO DE FUENTIDUEÑA,41.4244,-4.0621
143,1187,27880,BURELA,43.65,-7.4
144,7746,3749,"POBLETS, ELS",38.5833,0.0007071428571428572
145,2781,15614,CAMPOLONGO (PONTEDEUME),43.4,-8.303322222222219
146,6079,20700,ZUMARRAGA,43.091,-2.31555
147,552,16270,VILLALPARDO,39.4667,-1.6333
148,942,15270,CEE,42.9547,-9.188
149,1119,3790,ORBA,38.7705,-0.1012
150,933,10880,ZARZA LA MAYOR,39.8769,-6.8621
151,555,21280,ARROYOMOLINOS DE LEON,38.0167,-6.4167
152,414,10693,RIOLOBOS,39.9207,-6.303999999999999
153,14314,45221,ESQUIVIAS,40.1044,-3.7668
154,1283,13360,GRANATULA DE CALATRAVA,38.7969,-3.7434
155,3509,46880,BOCAIRENT,38.7667,-0.6167
156,5604,20810,ORIO,43.266999999999996,-2.1222000000000003
157,40235,48610,URDULIZ,43.3833,-2.95
158,14293,17004,GIRONA,41.9831,2.8249
159,17829,31005,PAMPLONA,42.8169,-1.6432
160,1463,13650,PUERTO LAPICE,39.3236,-3.4815
161,1639,12596,TORREBLANCA,40.2203,0.209
162,1081,14870,ZUHEROS,37.5433,-4.3153
163,1409,18260,ILLORA,37.2877,-3.879
164,3278,41310,BRENES,37.5494,-5.8714
165,962,28812,PEZUELA DE LAS TORRES,40.4167,-3.23495
166,15547,4120,CAÑADA DE SAN URBANO (LA,36.8565,-2.408100000000001
167,420,18656,LECRIN,36.9382,-3.549185714285714
168,394,24420,FABERO,42.768,-6.6265
169,700,4270,SORBAS,37.0901,-2.1274
170,805,40250,MOZONCILLO,41.1454,-4.1875
171,531,31171,ORORBIA,42.8164,-1.768375
172,39,41960,GINES,37.3868,-6.0774
173,131,44410,MOSQUERUELA,40.3613,-0.4489
174,222,44380,VILLARQUEMADO,40.5175,-1.265
175,1337,4459,OHANES,37.0386,-2.74
176,700,41420,FUENTES DE ANDALUCIA,37.4641,-5.3461
177,1784,23660,ALCAUDETE,37.5909,-4.0824
178,1318,40450,NAVA DE LA ASUNCION,41.1559,-4.4875
179,300,4569,BENTARIQUE,36.9839,-2.60835
180,588,47420,ISCAR,41.3612,-4.5335
181,147,49400,FUENTESAUCO,41.2304,-5.4972
182,243,50230,ALHAMA DE ARAGON,41.2966,-1.8936
183,3706,21410,ISLA-CRISTINA,37.2,-7.3167
184,671,14310,OBEJO,38.1326,-4.8002
185,3422,4620,VERA,37.2434,-1.859
186,1396,50177,BUJARALOZ,41.4981,-0.1529
187,877,4647,GUAZAMARA,37.3667,-1.7727818181818185
188,1643,14930,MONTURQUE,37.4719,-4.5816
189,963,4650,ZURGENA,37.3667,-2.0257400000000003
190,1220,33680,COLLANZO DE ALLER,43.1235,-5.5642
191,1563,41809,ALBAIDA DEL ALJARAFE,37.4235,-6.1667
192,1297,33760,CASTROPOL,43.5278,-7.0305
193,3022,4712,BALERMA,36.7315,-2.8865
194,2864,41610,PARADAS,37.2905,-5.497000000000001
195,9547,29640,FUENGIROLA,36.54,-4.6247
196,546,27640,BECERREA,42.8371,-7.1636
197,10334,45638,PEPINO,40.1599,-4.7946
198,4801,4738,ALMERIA,36.8315,-2.6427000000000005
199,823,36770,ROSAL,42.0167,-8.833300000000003
200,418,23430,RUS,38.0476,-3.4625
201,23757,20014,SAN SEBASTIAN-DONOSTIA,43.3128,-1.975
202,24727,43130,TARRAGONA,41.2667,1.60835
203,2462,31514,VALTIERRA,42.1965,-1.6346
204,507,4830,VÉLEZ BLANCO,37.7088,-2.1092875
205,6850,20001,SAN SEBASTIAN-DONOSTIA,43.3128,-1.975
206,1162,15150,BAYO GRANDE,43.148,-8.9311
207,817,32689,CUALEDRO,41.989,-7.5735
208,433,16622,PINAREJO,39.6164,-2.4259
209,777,4860,OLULA DEL RIO,37.35,-2.3
210,17885,19001,GUADALAJARA,40.6286,-3.1618
211,2741,14700,PALMA DEL RIO,37.7002,-5.281199999999999
212,1350,41460,"NAVAS DE LA CONCEPCION, LAS",37.9333,-5.4667
213,214,4890,SERON,37.3449,-2.5091
214,5379,12580,BENICARLO,40.4165,0.4271
215,815,45570,PUENTE DEL ARZOBISPO (EL,39.8017,-5.1718
216,739,50400,CARIÑENA,41.3373,-1.2244
217,848,25620,TREMP,42.167,0.8949
218,442,5100,NAVALUENGA,40.4112,-4.709
219,228,5461,MIJARES,40.2965,-4.8365
220,143,5530,MUÑOGALINDO,40.586,-4.902033333333333
221,1656,25680,VALLFOGONA DE BALAGUER,41.7521,0.8138
222,224,5220,MADRIGAL DE LAS ALTAS TO,41.0897,-5.00905
223,1986,5230,NAVAS DEL MARQUES (LAS),40.6024,-4.3345
224,2262,15980,PADRON,42.7108,-8.744699999999998
225,955,14600,MONTORO,38.219,-2.9807
226,175,5268,HERRADON DE PINARES,40.5427,-4.5804
227,7803,5005,AVILA,40.6572,-4.6995
228,159,50580,VERA DE MONCAYO,41.824,-1.6880000000000002
229,1376,19180,MARCHAMALO,40.6668,-3.1991
230,282,5350,SAN PEDRO DEL ARROYO,40.7765,-4.8746
231,162,34230,TORQUEMADA,42.0349,-4.3184
232,361,45620,MONTESCLAROS,40.1065,-4.9385
233,359,24230,VALDEVIMBRE,42.4196,-5.6198
234,839,18700,ALBUÑOL,36.792,-3.205
235,2070,25320,ANGLESOLA,41.6565,1.0829
236,964,15293,CARNOTA,42.833,-9.0901
237,7811,45350,NOBLEJAS,39.9806,-3.44
238,2829,41550,AGUADULCE,37.298,-5.0998
239,592,10470,VILLANUEVA DE LA VERA,40.13,-5.4625
240,263,5593,LAS NAVAS,40.4117,-5.398716666666666
241,21934,18013,GRANADA,37.1882,-3.6067
242,6852,29009,MALAGA,36.7202,-4.4203
243,1268,37740,SANTIBAÑEZ DE BEJAR,40.4879,-5.6111
244,247638,28050,MADRID,40.4165,-3.7026
245,638,5415,HORNILLO (EL),40.2499,-5.1036
246,20151,37900,SANTA MARTA DE TORMES,40.9507,-5.6272
247,600,19462,ILLANA,40.6656,-2.07
248,779,34800,AGUILAR DE CAMPOO,42.7945,-4.2589
249,4939,10650,AHIGAL,40.1895,-6.1882
250,1822,27611,PARADELA,42.7468,-7.581094444444448
251,9893,24007,LEON,42.6,-5.5703
252,7397,6005,BADAJOZ,38.8779,-6.9706
253,7807,33468,TRASONA,43.5459,-5.869427272727273
254,389,47511,SIETEIGLESIAS DE TRABANCOS,41.3522,-5.1849
255,1335,6130,VALVERDE DE LEGANES,38.6706,-6.9804
256,571,6140,TALAVERA LA REAL,38.8779,-6.7686
257,1368,45700,CONSUEGRA,39.4625,-3.608
258,1418,22880,CANFRANC,42.6513,-0.4517
